"id_employe","nom","prenom","poste","departement_id","nom_departement","date_embauche","date_depart","statut_au_2026_08_01","salaire","anciennete_annees","cohorte_embauche","score_moyen_total","score_moyen_3_derniers_trimestres","categorie_performance","derniere_evaluation"
"67","Nom_67","Prenom_67","Developpeur","8","Opérations","2023-01-18","","Активен","4616","3,53","2023","77,25","64,33","Средняя","2024-10-01"
"68","Nom_68","Prenom_68","Developpeur","1","Ressources Humaines","2022-12-22","","Активен","1517","3,61","2022","70,42","65","Средняя","2024-10-01"
"69","Nom_69","Prenom_69","Manager","10","Direction Générale","2020-05-23","","Активен","4284","6,19","2020","72,83","55,67","Низкая","2024-10-01"
"70","Nom_70","Prenom_70","RH","4","Data & Analytics","2021-02-14","","Активен","1458","5,46","2021","72,25","72,33","Средняя","2024-10-01"
"71","Nom_71","Prenom_71","RH","3","Informatique","2019-02-04","","Активен","4808","7,49","2019","71,58","81,67","Высокая","2024-10-01"
"72","Nom_72","Prenom_72","Finance","6","Ventes","2019-07-25","","Активен","4564","7,02","2019","73,83","79","Средняя","2024-10-01"
"73","Nom_73","Prenom_73","Finance","7","Service Client","2022-01-09","","Активен","3789","4,56","2022","79,58","84,67","Высокая","2024-10-01"
"74","Nom_74","Prenom_74","Analyste","4","Data & Analytics","2023-05-05","","Активен","2904","3,24","2023","79,83","85,67","Высокая","2024-10-01"
"75","Nom_75","Prenom_75","Developpeur","7","Service Client","2022-11-12","","Активен","2055","3,72","2022","76,75","75,67","Средняя","2024-10-01"
"76","Nom_76","Prenom_76","Finance","9","Juridique","2021-10-22","","Активен","3282","4,77","2021","68,33","63,33","Средняя","2024-10-01"
"77","Nom_77","Prenom_77","RH","2","Finance","2021-10-18","","Активен","1183","4,79","2021","70,25","72","Средняя","2024-10-01"
"78","Nom_78","Prenom_78","Manager","3","Informatique","2022-11-14","","Активен","3407","3,71","2022","73,58","71,33","Средняя","2024-10-01"
"79","Nom_79","Prenom_79","RH","5","Marketing","2020-07-19","","Активен","993","6,03","2020","75,08","73,33","Средняя","2024-10-01"
"80","Nom_80","Prenom_80","Developpeur","3","Informatique","2022-02-03","","Активен","4607","4,49","2022","73,5","58,67","Низкая","2024-10-01"
"81","Nom_81","Prenom_81","RH","8","Opérations","2023-12-01","","Активен","4519","2,67","2023","73","70","Средняя","2024-10-01"
"82","Nom_82","Prenom_82","Analyste","10","Direction Générale","2023-02-09","","Активен","3381","3,47","2023","71,83","79,33","Средняя","2024-10-01"
"83","Nom_83","Prenom_83","Developpeur","8","Opérations","2020-12-03","","Активен","3365","5,66","2020","71,25","85","Высокая","2024-10-01"
"84","Nom_84","Prenom_84","Manager","8","Opérations","2020-02-06","","Активен","3563","6,48","2020","72","74","Средняя","2024-10-01"
"85","Nom_85","Prenom_85","Analyste","9","Juridique","2020-12-30","","Активен","3598","5,59","2020","76,17","84,33","Высокая","2024-10-01"
"86","Nom_86","Prenom_86","Developpeur","4","Data & Analytics","2023-04-29","","Активен","3139","3,26","2023","67,75","70,67","Средняя","2024-10-01"
"87","Nom_87","Prenom_87","Manager","5","Marketing","2019-06-11","","Активен","4206","7,14","2019","75,67","81","Высокая","2024-10-01"
"88","Nom_88","Prenom_88","Analyste","5","Marketing","2019-07-21","","Активен","1531","7,03","2019","69,83","71,33","Средняя","2024-10-01"
"89","Nom_89","Prenom_89","Analyste","8","Opérations","2021-09-22","","Активен","3672","4,86","2021","72,92","70","Средняя","2024-10-01"
"90","Nom_90","Prenom_90","Developpeur","7","Service Client","2019-09-27","","Активен","3920","6,84","2019","77,75","73,33","Средняя","2024-10-01"
"91","Nom_91","Prenom_91","Finance","9","Juridique","2021-03-26","","Активен","4977","5,35","2021","70,58","58,67","Низкая","2024-10-01"
"92","Nom_92","Prenom_92","Analyste","8","Opérations","2022-07-18","","Активен","3404","4,04","2022","75,67","76","Средняя","2024-10-01"
"93","Nom_93","Prenom_93","Analyste","2","Finance","2020-03-31","","Активен","3182","6,34","2020","78,25","74,33","Средняя","2024-10-01"
"95","Nom_95","Prenom_95","RH","4","Data & Analytics","2023-10-17","","Активен","1434","2,79","2023","67,25","57","Низкая","2024-10-01"
"96","Nom_96","Prenom_96","Developpeur","6","Ventes","2022-06-29","","Активен","2569","4,09","2022","78,33","83,67","Высокая","2024-10-01"
"97","Nom_97","Prenom_97","Developpeur","2","Finance","2021-10-13","","Активен","4604","4,8","2021","81,75","82,33","Высокая","2024-10-01"
"98","Nom_98","Prenom_98","Finance","7","Service Client","2023-09-22","","Активен","3170","2,86","2023","76","82,33","Высокая","2024-10-01"
"99","Nom_99","Prenom_99","Finance","3","Informatique","2019-10-23","","Активен","802","6,77","2019","71,67","86,33","Высокая","2024-10-01"
"100","Nom_100","Prenom_100","Developpeur","3","Informatique","2023-10-15","2029-02-27","Активен","1005","2,8","2023","66,58","59","Низкая","2024-10-01"
"101","Nom_101","Prenom_101","Finance","2","Finance","2020-12-20","","Активен","4935","5,61","2020","66,83","73,67","Средняя","2024-10-01"
"102","Nom_102","Prenom_102","Manager","8","Opérations","2023-11-08","","Активен","3421","2,73","2023","73,75","77,67","Средняя","2024-10-01"
"103","Nom_103","Prenom_103","Developpeur","6","Ventes","2019-12-04","","Активен","3690","6,66","2019","70,83","74,33","Средняя","2024-10-01"
"105","Nom_105","Prenom_105","Developpeur","1","Ressources Humaines","2021-12-12","","Активен","3466","4,64","2021","79,17","72","Средняя","2024-10-01"
"106","Nom_106","Prenom_106","RH","7","Service Client","2021-03-02","","Активен","4106","5,42","2021","72,5","80,67","Высокая","2024-10-01"
"107","Nom_107","Prenom_107","Analyste","8","Opérations","2019-08-05","","Активен","1697","6,99","2019","75,58","72,33","Средняя","2024-10-01"
"108","Nom_108","Prenom_108","Developpeur","5","Marketing","2021-02-02","","Активен","1885","5,49","2021","71,92","69,33","Средняя","2024-10-01"
"109","Nom_109","Prenom_109","Analyste","5","Marketing","2019-07-07","","Активен","2079","7,07","2019","76,08","68,67","Средняя","2024-10-01"
"110","Nom_110","Prenom_110","Finance","4","Data & Analytics","2020-01-15","","Активен","1470","6,54","2020","78,83","62,33","Средняя","2024-10-01"
"111","Nom_111","Prenom_111","Analyste","6","Ventes","2020-05-07","","Активен","2305","6,23","2020","72,75","64,67","Средняя","2024-10-01"
"112","Nom_112","Prenom_112","Developpeur","6","Ventes","2021-11-30","","Активен","4375","4,67","2021","66,83","59,33","Низкая","2024-10-01"
"113","Nom_113","Prenom_113","RH","3","Informatique","2022-03-26","","Активен","2755","4,35","2022","74","75,33","Средняя","2024-10-01"
"114","Nom_114","Prenom_114","Finance","9","Juridique","2019-01-15","","Активен","1049","7,54","2019","68,42","76,33","Средняя","2024-10-01"
"116","Nom_116","Prenom_116","Finance","1","Ressources Humaines","2020-06-04","","Активен","4239","6,16","2020","73,83","70,33","Средняя","2024-10-01"
"117","Nom_117","Prenom_117","Manager","7","Service Client","2022-09-29","","Активен","2653","3,84","2022","75,92","83","Высокая","2024-10-01"
"118","Nom_118","Prenom_118","Analyste","5","Marketing","2022-02-26","","Активен","3654","4,43","2022","66,5","80,33","Высокая","2024-10-01"
"119","Nom_119","Prenom_119","Manager","5","Marketing","2020-10-09","","Активен","2303","5,81","2020","76,08","83,67","Высокая","2024-10-01"
"120","Nom_120","Prenom_120","Developpeur","2","Finance","2023-02-04","","Активен","4185","3,49","2023","74","70,67","Средняя","2024-10-01"
"122","Nom_122","Prenom_122","Finance","6","Ventes","2022-03-08","","Активен","4592","4,4","2022","74,5","74","Средняя","2024-10-01"
"123","Nom_123","Prenom_123","Analyste","10","Direction Générale","2023-03-03","","Активен","4226","3,41","2023","80,67","88,33","Высокая","2024-10-01"
"125","Nom_125","Prenom_125","Developpeur","5","Marketing","2020-01-27","","Активен","4412","6,51","2020","73,92","66,67","Средняя","2024-10-01"
"126","Nom_126","Prenom_126","Finance","9","Juridique","2023-08-26","","Активен","3418","2,93","2023","79,5","81,67","Высокая","2024-10-01"
"127","Nom_127","Prenom_127","Analyste","3","Informatique","2020-02-23","","Активен","3963","6,44","2020","76,5","69","Средняя","2024-10-01"
"128","Nom_128","Prenom_128","Developpeur","1","Ressources Humaines","2019-10-16","","Активен","2088","6,79","2019","76","68,33","Средняя","2024-10-01"
"129","Nom_129","Prenom_129","Finance","4","Data & Analytics","2020-01-14","","Активен","3742","6,55","2020","80,75","87,33","Высокая","2024-10-01"
"130","Nom_130","Prenom_130","RH","9","Juridique","2023-12-02","","Активен","1019","2,66","2023","76,67","71,67","Средняя","2024-10-01"
"131","Nom_131","Prenom_131","Developpeur","4","Data & Analytics","2023-02-22","","Активен","2725","3,44","2023","74,42","78,33","Средняя","2024-10-01"
"132","Nom_132","Prenom_132","Developpeur","2","Finance","2019-08-19","","Активен","3772","6,95","2019","75,08","80","Высокая","2024-10-01"
"133","Nom_133","Prenom_133","RH","10","Direction Générale","2021-10-14","","Активен","4313","4,8","2021","77,83","89","Высокая","2024-10-01"
"134","Nom_134","Prenom_134","Manager","5","Marketing","2019-02-10","","Активен","3248","7,47","2019","73,42","68","Средняя","2024-10-01"
"135","Nom_135","Prenom_135","Analyste","3","Informatique","2021-11-17","","Активен","4271","4,7","2021","79,17","89,67","Высокая","2024-10-01"
"138","Nom_138","Prenom_138","RH","6","Ventes","2021-02-18","","Активен","3746","5,45","2021","76,67","61,33","Средняя","2024-10-01"
"139","Nom_139","Prenom_139","Manager","2","Finance","2021-07-18","","Активен","2612","5,04","2021","73,58","79,67","Средняя","2024-10-01"
"140","Nom_140","Prenom_140","Developpeur","6","Ventes","2021-11-22","","Активен","1603","4,69","2021","71,25","72","Средняя","2024-10-01"
"141","Nom_141","Prenom_141","Finance","3","Informatique","2021-12-07","","Активен","1289","4,65","2021","63,92","67,33","Средняя","2024-10-01"
"143","Nom_143","Prenom_143","Manager","2","Finance","2020-02-11","","Активен","2293","6,47","2020","74,5","86,33","Высокая","2024-10-01"
"144","Nom_144","Prenom_144","Manager","9","Juridique","2023-05-17","","Активен","4445","3,21","2023","65,67","67,67","Средняя","2024-10-01"
"145","Nom_145","Prenom_145","RH","5","Marketing","2023-10-18","","Активен","3691","2,79","2023","76,92","68,33","Средняя","2024-10-01"
"146","Nom_146","Prenom_146","Analyste","8","Opérations","2021-03-15","","Активен","2505","5,38","2021","77,17","81","Высокая","2024-10-01"
"147","Nom_147","Prenom_147","Manager","2","Finance","2019-04-09","","Активен","4316","7,31","2019","71,08","82,67","Высокая","2024-10-01"
"148","Nom_148","Prenom_148","Manager","6","Ventes","2020-11-14","","Активен","4140","5,71","2020","79,75","80","Высокая","2024-10-01"
"150","Nom_150","Prenom_150","Finance","10","Direction Générale","2023-04-20","","Активен","3375","3,28","2023","71,83","69","Средняя","2024-10-01"
"151","Nom_151","Prenom_151","Analyste","5","Marketing","2021-08-18","","Активен","4391","4,95","2021","71,42","73","Средняя","2024-10-01"
"152","Nom_152","Prenom_152","Developpeur","8","Opérations","2023-10-29","","Активен","1415","2,76","2023","78,67","82,33","Высокая","2024-10-01"
"153","Nom_153","Prenom_153","RH","10","Direction Générale","2020-09-04","","Активен","1754","5,91","2020","66,58","58","Низкая","2024-10-01"
"154","Nom_154","Prenom_154","RH","1","Ressources Humaines","2023-01-25","","Активен","3233","3,52","2023","72,17","76","Средняя","2024-10-01"
"155","Nom_155","Prenom_155","Manager","5","Marketing","2020-10-04","","Активен","2429","5,82","2020","74,17","68,67","Средняя","2024-10-01"
"156","Nom_156","Prenom_156","Manager","3","Informatique","2023-11-28","","Активен","3581","2,67","2023","71,92","78","Средняя","2024-10-01"
"157","Nom_157","Prenom_157","RH","4","Data & Analytics","2021-10-25","","Активен","1449","4,77","2021","75,67","81,33","Высокая","2024-10-01"
"158","Nom_158","Prenom_158","Manager","2","Finance","2022-05-26","","Активен","3147","4,18","2022","69,58","63","Средняя","2024-10-01"
"159","Nom_159","Prenom_159","Analyste","9","Juridique","2020-05-17","","Активен","4078","6,21","2020","74,58","79","Средняя","2024-10-01"
"161","Nom_161","Prenom_161","Finance","2","Finance","2020-02-02","","Активен","4601","6,49","2020","75,5","69,67","Средняя","2024-10-01"
"162","Nom_162","Prenom_162","Manager","10","Direction Générale","2021-05-20","","Активен","3361","5,2","2021","72","67,67","Средняя","2024-10-01"
"163","Nom_163","Prenom_163","Developpeur","9","Juridique","2021-03-05","","Активен","4049","5,41","2021","73","84,67","Высокая","2024-10-01"
"164","Nom_164","Prenom_164","Analyste","7","Service Client","2020-01-28","","Активен","1170","6,51","2020","77,58","77,33","Средняя","2024-10-01"
"165","Nom_165","Prenom_165","Developpeur","6","Ventes","2019-07-26","","Активен","1657","7,02","2019","81,33","79,67","Средняя","2024-10-01"
"166","Nom_166","Prenom_166","Developpeur","1","Ressources Humaines","2021-11-04","","Активен","1183","4,74","2021","74,92","69,33","Средняя","2024-10-01"
"167","Nom_167","Prenom_167","Finance","5","Marketing","2023-04-27","","Активен","4677","3,26","2023","74,67","55,67","Низкая","2024-10-01"
"168","Nom_168","Prenom_168","Analyste","3","Informatique","2021-06-10","","Активен","3352","5,14","2021","80,17","88,67","Высокая","2024-10-01"
"169","Nom_169","Prenom_169","Analyste","1","Ressources Humaines","2023-01-24","","Активен","3525","3,52","2023","71,67","70,33","Средняя","2024-10-01"
"170","Nom_170","Prenom_170","Analyste","4","Data & Analytics","2023-09-11","","Активен","4834","2,89","2023","75,67","74","Средняя","2024-10-01"
"171","Nom_171","Prenom_171","Analyste","2","Finance","2023-05-18","","Активен","4093","3,21","2023","76,42","70,33","Средняя","2024-10-01"
"173","Nom_173","Prenom_173","Finance","3","Informatique","2021-01-12","","Активен","1722","5,55","2021","72,58","83,67","Высокая","2024-10-01"
"176","Nom_176","Prenom_176","Analyste","7","Service Client","2021-10-17","","Активен","3846","4,79","2021","80,75","84,33","Высокая","2024-10-01"
"177","Nom_177","Prenom_177","Manager","6","Ventes","2019-04-06","","Активен","1774","7,32","2019","72,67","68","Средняя","2024-10-01"
"178","Nom_178","Prenom_178","Manager","9","Juridique","2023-10-24","","Активен","2030","2,77","2023","66,67","67","Средняя","2024-10-01"
"179","Nom_179","Prenom_179","Developpeur","4","Data & Analytics","2020-04-29","","Активен","3235","6,26","2020","72,08","78","Средняя","2024-10-01"
"180","Nom_180","Prenom_180","Finance","1","Ressources Humaines","2022-12-01","","Активен","2614","3,67","2022","73","79,67","Средняя","2024-10-01"
"181","Nom_181","Prenom_181","RH","8","Opérations","2019-08-19","","Активен","3734","6,95","2019","70,75","70,33","Средняя","2024-10-01"
"182","Nom_182","Prenom_182","RH","7","Service Client","2021-01-18","","Активен","2163","5,53","2021","74,58","58,33","Низкая","2024-10-01"
"183","Nom_183","Prenom_183","Manager","7","Service Client","2023-08-06","2028-01-28","Активен","4740","2,99","2023","73,17","72","Средняя","2024-10-01"
"184","Nom_184","Prenom_184","Developpeur","3","Informatique","2022-04-09","","Активен","1003","4,31","2022","66,33","74,33","Средняя","2024-10-01"
"185","Nom_185","Prenom_185","RH","4","Data & Analytics","2020-06-24","","Активен","960","6,1","2020","68,67","77,33","Средняя","2024-10-01"
"186","Nom_186","Prenom_186","Manager","10","Direction Générale","2021-11-25","","Активен","1568","4,68","2021","76,08","75,67","Средняя","2024-10-01"
"187","Nom_187","Prenom_187","Finance","9","Juridique","2020-06-08","","Активен","4548","6,15","2020","72,58","79","Средняя","2024-10-01"
"188","Nom_188","Prenom_188","RH","6","Ventes","2022-03-29","","Активен","3381","4,34","2022","83,5","89","Высокая","2024-10-01"
"189","Nom_189","Prenom_189","Manager","5","Marketing","2023-09-19","","Активен","1893","2,87","2023","74,75","64","Средняя","2024-10-01"
"191","Nom_191","Prenom_191","Analyste","9","Juridique","2022-01-14","","Активен","2340","4,54","2022","75,92","87,67","Высокая","2024-10-01"
"192","Nom_192","Prenom_192","Finance","5","Marketing","2023-12-25","","Активен","3675","2,6","2023","70,42","63,67","Средняя","2024-10-01"
"193","Nom_193","Prenom_193","Analyste","5","Marketing","2020-07-31","","Активен","3991","6","2020","75,5","72,67","Средняя","2024-10-01"
"194","Nom_194","Prenom_194","Developpeur","4","Data & Analytics","2020-11-12","","Активен","2637","5,72","2020","77,25","93,67","Высокая","2024-10-01"
"195","Nom_195","Prenom_195","Analyste","4","Data & Analytics","2020-07-10","","Активен","1489","6,06","2020","74","81,33","Высокая","2024-10-01"
"196","Nom_196","Prenom_196","Analyste","1","Ressources Humaines","2023-05-17","","Активен","4559","3,21","2023","74,83","67","Средняя","2024-10-01"
"197","Nom_197","Prenom_197","RH","7","Service Client","2021-10-09","","Активен","3749","4,81","2021","77,92","81,33","Высокая","2024-10-01"
"198","Nom_198","Prenom_198","Manager","9","Juridique","2020-10-07","","Активен","2903","5,82","2020","72,25","73,33","Средняя","2024-10-01"
"199","Nom_199","Prenom_199","Finance","3","Informatique","2021-03-06","","Активен","1165","5,4","2021","75,92","75","Средняя","2024-10-01"
"200","Nom_200","Prenom_200","Analyste","2","Finance","2021-11-17","","Активен","4375","4,7","2021","76,33","79,67","Средняя","2024-10-01"
"201","Nom_201","Prenom_201","Finance","3","Informatique","2023-07-02","","Активен","4999","3,08","2023","76","75","Средняя","2024-10-01"
"202","Nom_202","Prenom_202","Analyste","1","Ressources Humaines","2023-04-29","","Активен","4972","3,26","2023","75,08","83,67","Высокая","2024-10-01"
"203","Nom_203","Prenom_203","Developpeur","6","Ventes","2022-09-25","","Активен","3178","3,85","2022","83","79,33","Средняя","2024-10-01"
"204","Nom_204","Prenom_204","Analyste","7","Service Client","2023-12-27","","Активен","2005","2,6","2023","77,17","81,67","Высокая","2024-10-01"
"205","Nom_205","Prenom_205","RH","2","Finance","2022-09-16","","Активен","4639","3,87","2022","78,67","70,67","Средняя","2024-10-01"
"206","Nom_206","Prenom_206","Manager","8","Opérations","2023-07-22","","Активен","3535","3,03","2023","73,17","76,67","Средняя","2024-10-01"
"207","Nom_207","Prenom_207","Developpeur","6","Ventes","2023-03-10","","Активен","4147","3,39","2023","72,08","70,67","Средняя","2024-10-01"
"209","Nom_209","Prenom_209","Finance","5","Marketing","2023-02-05","","Активен","1098","3,49","2023","74,25","72","Средняя","2024-10-01"
"210","Nom_210","Prenom_210","Developpeur","8","Opérations","2022-06-08","","Активен","1756","4,15","2022","67,75","74","Средняя","2024-10-01"
"211","Nom_211","Prenom_211","Developpeur","3","Informatique","2019-07-09","","Активен","1914","7,06","2019","69,67","70,67","Средняя","2024-10-01"
"212","Nom_212","Prenom_212","Analyste","3","Informatique","2022-06-02","","Активен","3305","4,16","2022","68,83","73,33","Средняя","2024-10-01"
"213","Nom_213","Prenom_213","Developpeur","4","Data & Analytics","2022-11-09","","Активен","2274","3,73","2022","76,83","81","Высокая","2024-10-01"
"214","Nom_214","Prenom_214","Finance","1","Ressources Humaines","2022-11-01","","Активен","4526","3,75","2022","73,83","77,67","Средняя","2024-10-01"
"215","Nom_215","Prenom_215","Developpeur","9","Juridique","2022-07-30","","Активен","4271","4,01","2022","78,5","84","Высокая","2024-10-01"
"216","Nom_216","Prenom_216","Finance","8","Opérations","2020-09-24","","Активен","3628","5,85","2020","69,83","74,33","Средняя","2024-10-01"
